Warning: file 'Mem.hex' for memory 'rf' has a gap at addresses 524288 to 150994943.
Warning: RegFile 'top.mem_model.rf' -- Read address is out of bounds: 0xaaaaaaaaaaaaaaaa
================================================================
Bluespec RISC-V standalone system simulation v1.1
Copyright (c) 2017-2018 Bluespec, Inc. All Rights Reserved.
================================================================
================================================================
CPU: Bluespec  RISC-V  Piccolo  v3.0
Copyright (c) 2016-2018 Bluespec, Inc. All Rights Reserved.
================================================================
135: Mem_Controller.set_addr_map: addr_base 0x80000000 addr_lim 0x90000000
[[ 0x0037 ]], halt: False, trap: False, insn:0x4bdf1063, pc:0x8000b70c, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0038 ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b710, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x0039 ]], halt: False, trap: False, insn:0x00000113, pc:0x8000b714, rd: 0x00010, rd_wdata:0x0000000000000000
[[ 0x003a ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b718, rd: 0x11110, rd_wdata:0xffffffff80000000
[[ 0x003b ]], halt: False, trap: False, insn:0x80000eb7, pc:0x8000b71c, rd: 0x11101, rd_wdata:0xffffffff80000000
[[ 0x003c ]], halt: False, trap: False, insn:0x00600193, pc:0x8000b720, rd: 0x00011, rd_wdata:0x0000000000000006
[[ 0x003d ]], halt: False, trap: False, insn:0x49df1463, pc:0x8000b724, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x003e ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b728, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x003f ]], halt: False, trap: False, insn:0xffff8137, pc:0x8000b72c, rd: 0x00010, rd_wdata:0xffffffffffff8000
[[ 0x0040 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b730, rd: 0x11110, rd_wdata:0xffffffff7fff8000
[[ 0x0041 ]], halt: False, trap: False, insn:0xffff0eb7, pc:0x8000b734, rd: 0x11101, rd_wdata:0xffffffffffff0000
[[ 0x0042 ]], halt: False, trap: False, insn:0xfffe8e9b, pc:0x8000b738, rd: 0x11101, rd_wdata:0xfffffffffffeffff
[[ 0x0043 ]], halt: False, trap: False, insn:0x00fe9e93, pc:0x8000b73c, rd: 0x11101, rd_wdata:0xffffffff7fff8000
[[ 0x0044 ]], halt: False, trap: False, insn:0x00700193, pc:0x8000b740, rd: 0x00011, rd_wdata:0x0000000000000007
[[ 0x0045 ]], halt: False, trap: False, insn:0x47df1463, pc:0x8000b744, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0046 ]], halt: False, trap: False, insn:0x00000093, pc:0x8000b748, rd: 0x00001, rd_wdata:0x0000000000000000
[[ 0x0047 ]], halt: False, trap: False, insn:0x00008137, pc:0x8000b74c, rd: 0x00010, rd_wdata:0x0000000000008000
[[ 0x0048 ]], halt: False, trap: False, insn:0xfff1011b, pc:0x8000b750, rd: 0x00010, rd_wdata:0x0000000000007fff
[[ 0x0049 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b754, rd: 0x11110, rd_wdata:0x0000000000007fff
[[ 0x004a ]], halt: False, trap: False, insn:0x00008eb7, pc:0x8000b758, rd: 0x11101, rd_wdata:0x0000000000008000
[[ 0x004b ]], halt: False, trap: False, insn:0xfffe8e9b, pc:0x8000b75c, rd: 0x11101, rd_wdata:0x0000000000007fff
[[ 0x004c ]], halt: False, trap: False, insn:0x00800193, pc:0x8000b760, rd: 0x00011, rd_wdata:0x0000000000000008
[[ 0x004d ]], halt: False, trap: False, insn:0x45df1463, pc:0x8000b764, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x004e ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b768, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x004f ]], halt: False, trap: False, insn:0xfff0809b, pc:0x8000b76c, rd: 0x00001, rd_wdata:0x000000007fffffff
[[ 0x0050 ]], halt: False, trap: False, insn:0x00000113, pc:0x8000b770, rd: 0x00010, rd_wdata:0x0000000000000000
[[ 0x0051 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b774, rd: 0x11110, rd_wdata:0x000000007fffffff
[[ 0x0052 ]], halt: False, trap: False, insn:0x80000eb7, pc:0x8000b778, rd: 0x11101, rd_wdata:0xffffffff80000000
[[ 0x0053 ]], halt: False, trap: False, insn:0xfffe8e9b, pc:0x8000b77c, rd: 0x11101, rd_wdata:0x000000007fffffff
[[ 0x0054 ]], halt: False, trap: False, insn:0x00900193, pc:0x8000b780, rd: 0x00011, rd_wdata:0x0000000000000009
[[ 0x0055 ]], halt: False, trap: False, insn:0x43df1463, pc:0x8000b784, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0056 ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b788, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x0057 ]], halt: False, trap: False, insn:0xfff0809b, pc:0x8000b78c, rd: 0x00001, rd_wdata:0x000000007fffffff
[[ 0x0058 ]], halt: False, trap: False, insn:0x00008137, pc:0x8000b790, rd: 0x00010, rd_wdata:0x0000000000008000
[[ 0x0059 ]], halt: False, trap: False, insn:0xfff1011b, pc:0x8000b794, rd: 0x00010, rd_wdata:0x0000000000007fff
[[ 0x005a ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b798, rd: 0x11110, rd_wdata:0x0000000080007ffe
[[ 0x005b ]], halt: False, trap: False, insn:0x00010eb7, pc:0x8000b79c, rd: 0x11101, rd_wdata:0x0000000000010000
[[ 0x005c ]], halt: False, trap: False, insn:0x001e8e9b, pc:0x8000b7a0, rd: 0x11101, rd_wdata:0x0000000000010001
[[ 0x005d ]], halt: False, trap: False, insn:0x00fe9e93, pc:0x8000b7a4, rd: 0x11101, rd_wdata:0x0000000080008000
[[ 0x005e ]], halt: False, trap: False, insn:0xffee8e93, pc:0x8000b7a8, rd: 0x11101, rd_wdata:0x0000000080007ffe
[[ 0x005f ]], halt: False, trap: False, insn:0x00a00193, pc:0x8000b7ac, rd: 0x00011, rd_wdata:0x000000000000000a
[[ 0x0060 ]], halt: False, trap: False, insn:0x3fdf1e63, pc:0x8000b7b0, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0061 ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b7b4, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x0062 ]], halt: False, trap: False, insn:0x00008137, pc:0x8000b7b8, rd: 0x00010, rd_wdata:0x0000000000008000
[[ 0x0063 ]], halt: False, trap: False, insn:0xfff1011b, pc:0x8000b7bc, rd: 0x00010, rd_wdata:0x0000000000007fff
[[ 0x0064 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b7c0, rd: 0x11110, rd_wdata:0xffffffff80007fff
[[ 0x0065 ]], halt: False, trap: False, insn:0x80008eb7, pc:0x8000b7c4, rd: 0x11101, rd_wdata:0xffffffff80008000
[[ 0x0066 ]], halt: False, trap: False, insn:0xfffe8e9b, pc:0x8000b7c8, rd: 0x11101, rd_wdata:0xffffffff80007fff
[[ 0x0067 ]], halt: False, trap: False, insn:0x00b00193, pc:0x8000b7cc, rd: 0x00011, rd_wdata:0x000000000000000b
[[ 0x0068 ]], halt: False, trap: False, insn:0x3ddf1e63, pc:0x8000b7d0, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0069 ]], halt: False, trap: False, insn:0x800000b7, pc:0x8000b7d4, rd: 0x00001, rd_wdata:0xffffffff80000000
[[ 0x006a ]], halt: False, trap: False, insn:0xfff0809b, pc:0x8000b7d8, rd: 0x00001, rd_wdata:0x000000007fffffff
[[ 0x006b ]], halt: False, trap: False, insn:0xffff8137, pc:0x8000b7dc, rd: 0x00010, rd_wdata:0xffffffffffff8000
[[ 0x006c ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b7e0, rd: 0x11110, rd_wdata:0x000000007fff7fff
[[ 0x006d ]], halt: False, trap: False, insn:0x7fff8eb7, pc:0x8000b7e4, rd: 0x11101, rd_wdata:0x000000007fff8000
[[ 0x006e ]], halt: False, trap: False, insn:0xfffe8e9b, pc:0x8000b7e8, rd: 0x11101, rd_wdata:0x000000007fff7fff
[[ 0x006f ]], halt: False, trap: False, insn:0x00c00193, pc:0x8000b7ec, rd: 0x00011, rd_wdata:0x000000000000000c
[[ 0x0070 ]], halt: False, trap: False, insn:0x3bdf1e63, pc:0x8000b7f0, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0071 ]], halt: False, trap: False, insn:0x00000093, pc:0x8000b7f4, rd: 0x00001, rd_wdata:0x0000000000000000
[[ 0x0072 ]], halt: False, trap: False, insn:0xfff00113, pc:0x8000b7f8, rd: 0x00010, rd_wdata:0xffffffffffffffff
[[ 0x0073 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b7fc, rd: 0x11110, rd_wdata:0xffffffffffffffff
[[ 0x0074 ]], halt: False, trap: False, insn:0xfff00e93, pc:0x8000b800, rd: 0x11101, rd_wdata:0xffffffffffffffff
[[ 0x0075 ]], halt: False, trap: False, insn:0x00d00193, pc:0x8000b804, rd: 0x00011, rd_wdata:0x000000000000000d
[[ 0x0076 ]], halt: False, trap: False, insn:0x3bdf1263, pc:0x8000b808, rd: 0x00000, rd_wdata:0x0000000000000000
